objid,u,g,r,i,z,ra,dec
1237652947453346567,21.894064,22.697819,20.601461,19.387077,18.535173,3.38120965,-10.15489868
1237652947453345927,23.157373,20.142012,18.549662,17.925272,17.58849,3.38206262,-10.00474837
1237656495115075846,19.457067,18.268847,17.598167,17.161692,16.892353,3.38251984,14.78031578
1237652946379604157,22.076078,19.850407,18.059845,17.458418,17.118149,3.38431632,-10.98766108
1237657190906724529,20.123785,18.432364,17.554804,17.187708,16.865843,3.39661338,-0.16374133
1237652947990217333,22.445681,20.515959,18.702692,18.053259,17.608814,3.39740781,-9.6402234
1237667172390731956,20.708794,19.645649,18.58124,18.075991,17.679478,3.40733588,-0.38538529
1237657192517337150,19.316151,17.698689,16.865164,16.423313,16.106108,3.41620242,1.09701924
1237653651836436824,25.855721,21.225462,19.409155,18.466398,18.116594,3.42345348,14.83070841
1237652946916540638,25.81806,21.02421,19.098431,18.452883,18.120924,3.42954894,-10.53294537
1237652946916540753,26.358816,21.6434,19.769768,18.940142,18.511852,3.43419738,-10.47805394
1237672842284171473,21.357231,19.679628,18.001419,17.365522,16.976288,3.44205042,-8.87179483
1237657191980466414,19.290213,17.165112,15.9692,15.385459,14.965281,3.44718177,0.7671756
1237657190369853550,20.144691,18.300594,17.324198,16.931084,16.550766,3.46127682,-0.42418376
1237667172390797425,20.010738,18.420012,17.38698,16.871265,16.420607,3.4613255,-0.32018383
1237652946379669655,19.419996,18.350008,17.734837,17.375988,17.097073,3.469539,-10.86533596
1237653651836436608,21.769754,19.176317,17.724888,16.576408,15.917285,3.47405777,14.84701108
1237663278466138411,19.459652,19.064898,19.146961,18.60895,18.847115,3.47829414,0.90758884
1237656494041399844,23.256487,21.339678,19.595074,18.708254,18.143322,3.48059394,13.87580311
1237653651836436620,19.099876,17.199171,16.256004,15.808978,15.456017,3.49298921,14.95498921
1237652948527153334,23.506706,20.647387,18.860832,18.225962,17.796137,3.49510375,-9.3504689
1237672795035599175,22.202496,21.646605,19.857254,18.879486,18.515255,3.50107615,-9.81673845
1237667172390797863,24.241491,20.917442,19.244055,18.558435,18.047661,3.50221155,-0.32647586
1237653651299565781,23.402561,20.905935,19.070765,18.79426,17.891649,3.50650025,14.39521293
1237663277392396538,20.254538,18.761539,17.986753,17.517921,17.235518,3.51088486,0.01062679
1237657191980466447,21.73514,19.898148,18.512468,17.98909,17.643549,3.51107199,0.81178309
1237663277392462172,21.39068,21.213303,20.49025,20.472567,19.799608,3.51929276,4.16789447E-3
1237657192517337212,18.673941,17.5912,17.184162,16.917271,16.772717,3.52212709,1.2330852
1237653650762694853,20.663223,18.612473,17.546623,17.115564,16.712431,3.52821544,14.12607985
1237663782588317864,17.924097,16.397099,15.600528,15.169048,14.831675,3.53272291,-1.2099932
1237657191980466553,19.041876,17.986288,17.532202,17.154375,16.97867,3.54060058,0.83337658
1237653651836436671,19.132124,17.648523,16.826315,16.365753,16.044052,3.54817773,14.9196503
1237652946916540567,20.685371,18.749289,17.773363,17.312826,16.948227,3.55017305,-10.44786738
1237652948527153711,23.05925,20.246752,18.37195,17.632185,17.252567,3.55078241,-9.27056568
1237657190906789975,17.972574,16.635828,15.743532,15.319435,14.998338,3.55774518,-0.02828552
1237657192517402822,24.627161,20.659863,18.715136,18.092602,17.728453,3.56480215,1.12646008
1237653651836502100,20.647114,18.633411,17.489191,17.013756,16.648653,3.57681711,14.84555682
1237652629100101816,24.535423,20.746479,18.892445,18.165543,17.696592,3.57889541,-10.6755293
1237657191443660924,21.634092,19.081007,17.687063,17.154593,16.767941,3.58962632,0.28866103
1237653652910244091,24.453259,20.046146,18.221624,17.539705,17.091734,3.59558685,15.74888641
1237653651299631307,21.244829,19.428425,17.937803,17.363329,16.987761,3.60402638,14.44682662
1237663277929332851,19.020124,17.967985,17.504776,17.179411,17.017193,3.60430616,0.44613311
1237653651836502244,21.885401,20.333061,18.603806,17.953465,17.565266,3.60813558,14.96577033
1237672795572076697,21.710987,20.258261,18.593056,17.992062,17.57913,3.60830501,-8.7895602
1237672794499186870,18.994864,17.398335,16.550043,16.111324,15.750971,3.61249722,-11.06082886
1237652947990348263,26.77108,21.047318,19.153481,18.518679,18.090797,3.624215,-9.76538748
1237653652910244035,18.880232,17.54233,16.898539,16.435421,16.207907,3.62901316,15.81866596
1237653651836502508,21.951485,20.900135,18.999691,18.304884,17.998682,3.63308318,14.84272766
1237657190906790095,20.317684,18.470795,17.558146,17.139299,16.791367,3.65742564,-6.04698386E-3
1237657189833048180,20.174282,19.11277,18.855433,18.58577,18.546902,3.66082607,-0.93860077
1237653651299631338,22.997812,20.367193,18.67807,18.070837,17.702168,3.66279011,14.37955068
1237657190369919274,25.833237,20.054649,18.349993,17.714903,17.339079,3.66930539,-0.62218544
1237663277929398364,19.091898,17.850679,17.292158,16.957476,16.744066,3.67127247,0.44330104
1237656494041465491,27.710735,20.729282,18.727304,18.022671,17.484924,3.68030061,13.90817223
1237663783662125775,25.478546,20.965778,19.139793,18.509361,18.224909,3.68248632,-0.25018707
1237663277929398388,18.155876,17.033203,16.530632,16.202801,15.966919,3.69772812,0.49089612
1237657191443726480,20.064833,19.029984,18.723829,18.531193,18.465557,3.69944206,0.2649875
1237657190906855485,19.268225,18.047029,17.541597,17.235348,17.037867,3.70106472,-0.04760975
1237657191443726479,19.948587,18.102163,17.231974,16.814754,16.483627,3.70171388,0.26886865
1237657191443726491,19.268612,18.07266,17.650885,17.385321,17.206373,3.70632484,0.30199822
1237652946379800655,17.197895,15.906958,15.399468,15.109526,14.910276,3.73664976,-10.96699793
1237663784198996277,21.339102,19.430948,17.926546,17.386923,17.048855,3.73825525,0.06291154
1237657189833113805,20.538774,18.573681,17.561207,17.115377,16.757694,3.73886371,-0.86188657
1237663782588448914,22.904367,20.364609,18.652065,18.077814,17.717974,3.74579378,-1.14702904
1237663278466269357,20.11797,19.052557,18.419081,18.078588,17.831188,3.75975626,0.95015473
1237657190906856007,22.17485,20.948786,19.200008,18.561865,18.149244,3.76360816,-0.1989326
1237657190369984641,19.237387,18.007246,17.357065,16.929571,16.684135,3.76592946,-0.62432692
1237672795035861087,21.276533,19.180861,17.908869,17.198095,16.922581,3.76961729,-10.38082231
1237672842821108330,21.820261,20.730125,19.087801,18.377121,17.874832,3.77394188,-8.88077651
1237663783662190684,19.701694,17.55648,16.334322,15.846622,15.476171,3.77579005,-0.40366443
1237657192517468232,20.629822,18.332825,17.384066,16.93507,16.634663,3.77584152,1.16703219
1237672795572338841,22.670416,19.832903,18.240168,17.685802,17.251463,3.77665073,-9.36270405
1237657191980597468,19.444256,18.469288,18.074768,17.735283,17.626379,3.78718911,0.64536063
1237657192517468779,22.74452,20.600422,18.93922,18.283173,17.834538,3.79175958,1.12518292
1237663782588448833,19.144363,17.276257,16.355328,15.948469,15.622301,3.79394469,-1.07613822
1237663782588448840,21.179441,19.217495,17.983622,17.585522,17.191202,3.79769751,-1.19824275
1237663782588448840,21.179441,19.217495,17.983622,17.585522,17.191202,3.79769751,-1.19824275
1237653653447180509,19.329924,17.270247,16.17494,15.682158,15.296597,3.79925019,16.14141981
1237672795572273714,22.144346,20.449039,18.635588,17.987204,17.651728,3.80534179,-9.3019483
1237653651299696846,23.323523,20.37888,18.656267,17.98167,17.525513,3.80793623,14.38895429
1237656494041530964,24.246658,20.875179,18.927135,18.272467,17.846649,3.82585301,13.74083096
1237656494041530573,20.64381,18.722284,17.765205,17.30867,16.944798,3.83041937,13.89620036
1237657190369984683,19.712523,18.652472,18.310806,18.021297,17.934874,3.83869877,-0.57153368
1237653650762825956,23.682325,20.288315,18.428257,17.823505,17.373596,3.83905191,14.06387732
1237663784199061753,25.387714,21.174524,19.30271,18.513927,17.997688,3.84495906,0.07686262
1237653651836567948,19.351271,18.074932,17.608908,17.321171,17.120159,3.84553667,14.9256301
1237663783662190830,21.407722,19.308365,17.870398,17.2687,16.933702,3.84763931,-0.28919624
1237663784199061715,26.27401,20.714588,18.939062,18.176992,17.780792,3.84884117,0.15357589
1237680240915185860,21.949263,20.187813,18.380819,17.799509,17.384863,3.85171744,-8.75781635
1237657191980662844,19.04377,17.311056,16.416727,15.885308,15.538939,3.86151454,0.74007924
1237657189833179279,20.008139,19.044928,18.541262,18.138708,18.015787,3.86159948,-0.97166686
1237652946916737332,21.378057,20.360147,18.637098,17.935312,17.412943,3.8697672,-10.42586022
1237653650762825980,20.218887,18.612032,17.542908,17.085978,16.691008,3.87657876,14.14617917
1237657192517533838,19.73653,18.404177,17.548407,17.131775,16.85309,3.87701519,1.08429661
1237663278466334823,19.656075,18.702682,18.132395,17.775991,17.62438,3.87896833,0.97302437
1237663783125319943,17.799915,15.954961,15.089533,14.6819,14.33616,3.87940026,-0.80156163
1237656495115337891,20.087809,18.160873,17.20505,16.766819,16.40769,3.89074107,14.64834772
1237663278466334856,19.98085,18.10779,17.059782,16.602724,16.208704,3.89215267,0.89048984
1237656495115337896,18.860245,17.586489,16.91481,16.490623,16.199665,3.89322511,14.66477167
1237657191443792013,20.384048,19.514231,18.491837,17.965111,17.660637,3.89694855,0.41317021
1237656495652208827,24.11305,21.065096,19.076969,18.404333,18.033726,3.89757874,14.99847548
1237672795035861112,19.939449,19.013603,18.573935,18.211855,18.094687,3.89847311,-10.35403847
1237672796109013364,21.943399,21.089355,19.313698,18.575985,18.184519,3.89952279,-8.79026767
1237672795572338843,22.830793,20.20755,18.474062,17.902397,17.435879,3.90123736,-9.30954097
1237657192517533935,25.483252,20.664005,18.879202,18.27434,17.853376,3.90772981,1.225531
1237663783125385340,20.591959,18.581743,17.46291,16.99452,16.623188,3.91514688,-0.7986489
1237663783125385346,20.679689,18.749863,17.606602,17.147696,16.765474,3.91972664,-0.81363183
1237656495115337933,17.844286,15.921383,14.927725,14.481146,14.143948,3.92320304,14.68908959
1237656494041596042,20.195417,19.293736,18.794432,18.458637,18.398737,3.93071535,13.75388369
1237656495115337935,25.076927,21.113005,19.267241,18.562178,18.266344,3.9324684,14.70015997
1237656495115338013,19.616209,17.660431,16.731621,16.268147,15.936728,3.95030436,14.67681969
1237672796109013121,20.149431,19.207012,18.7309,18.288021,18.273573,3.95837858,-8.77614876
1237652948527350142,26.523827,21.128851,19.315578,18.434891,17.961206,3.96006596,-9.34344723
1237673017835389184,21.362066,21.398727,21.700794,21.61989,21.170202,3.96462908,-11.12176055
1237673017835389183,18.836966,17.620871,17.230392,17.095839,16.988029,3.96565322,-11.12094455
1237652947990478870,20.90852,18.860832,17.70956,17.234997,16.864065,3.96705598,-9.78551117
1237652946916737055,23.185228,21.077955,19.235121,18.626448,18.261616,3.97973252,-10.59941384
1237652901823578187,20.130074,18.722393,17.788635,17.33139,16.976225,3.98483956,-9.02251023
1237673017835454859,22.912058,21.125153,19.404842,18.633438,18.009987,3.98730233,-11.20017137
1237672795572535368,18.415171,17.244743,16.835377,16.518744,16.347115,3.99022703,-9.83730739
1237653653447246159,22.576704,20.510239,18.736435,18.077446,17.636826,3.99716493,16.10271709
